question,original_image,labeled_image,mask_image,molmo_image
What's next to the napkin?,images/26_original.jpg,images/26_labeled.jpg,masks_gt/26_mask.png,molmo/26_molmo.png
What material is the bench made from?,images/27_original.jpg,images/27_labeled.jpg,masks_gt/27_mask.png,molmo/27_molmo.png
what bench is next to the window,images/28_original.jpg,images/28_labeled.jpg,masks_gt/28_mask.png,molmo/28_molmo.png
Does the bucket have a reflection?,images/29_original.jpg,images/29_labeled.jpg,masks_gt/29_mask.png,molmo/29_molmo.png
Is the fan turned on?,images/30_original.jpg,images/30_labeled.jpg,masks_gt/30_mask.png,molmo/30_molmo.png
Does this part of the girl's sweater have stripes?,images/31_original.jpg,images/31_labeled.jpg,masks_gt/31_mask.png,molmo/31_molmo.png
what design pattern does that pillow has?,images/32_original.jpg,images/32_labeled.jpg,masks_gt/32_mask.png,molmo/32_molmo.png
Did this knife cut the pizza?,images/33_original.jpg,images/33_labeled.jpg,masks_gt/33_mask.png,molmo/33_molmo.png
Is the spoon bent?,images/34_original.jpg,images/34_labeled.jpg,masks_gt/34_mask.png,molmo/34_molmo.png
Does the body support the lid?,images/35_original.jpg,images/35_labeled.jpg,masks_gt/35_mask.png,molmo/35_molmo.png
what is behind that chair?,images/36_original.jpg,images/36_labeled.jpg,masks_gt/36_mask.png,molmo/36_molmo.png
,images/37_original.jpg,images/37_labeled.jpg,masks_gt/37_mask.png,molmo/37_molmo.png
What is the color of the helmet?,images/38_original.jpg,images/38_labeled.jpg,masks_gt/38_mask.png,molmo/38_molmo.png
Where is the remote control placed?,images/39_original.jpg,images/39_labeled.jpg,masks_gt/39_mask.png,molmo/39_molmo.png
What shape is the box?,images/40_original.jpg,images/40_labeled.jpg,masks_gt/40_mask.png,molmo/40_molmo.png
what is written in the cover of that book?,images/41_original.jpg,images/41_labeled.jpg,masks_gt/41_mask.png,molmo/41_molmo.png
Is the colored helmet (not the black one) wearing by a man? ,images/42_original.jpg,images/42_labeled.jpg,masks_gt/42_mask.png,molmo/42_molmo.png
Do you typically use all of your fingers to operate this?,images/43_original.jpg,images/43_labeled.jpg,masks_gt/43_mask.png,molmo/43_molmo.png
What does the table hold?,images/44_original.jpg,images/44_labeled.jpg,masks_gt/44_mask.png,molmo/44_molmo.png
Is the cell phone on?,images/45_original.jpg,images/45_labeled.jpg,masks_gt/45_mask.png,molmo/45_molmo.png
Where is the basket located?,images/46_original.jpg,images/46_labeled.jpg,masks_gt/46_mask.png,molmo/46_molmo.png
What is written on the cover?,images/47_original.jpg,images/47_labeled.jpg,masks_gt/47_mask.png,molmo/47_molmo.png
what is beside this pen?,images/48_original.jpg,images/48_labeled.jpg,masks_gt/48_mask.png,molmo/48_molmo.png
What color is the car currently driving on the road?,images/49_original.jpg,images/49_labeled.jpg,masks_gt/49_mask.png,molmo/49_molmo.png
How big is the mirror?,images/50_original.jpg,images/50_labeled.jpg,masks_gt/50_mask.png,molmo/50_molmo.png
Is something inside the trash can?,images/51_original.jpg,images/51_labeled.jpg,masks_gt/51_mask.png,molmo/51_molmo.png
Is the pillow plain?,images/52_original.jpg,images/52_labeled.jpg,masks_gt/52_mask.png,molmo/52_molmo.png
Is there something inside the container?,images/53_original.jpg,images/53_labeled.jpg,masks_gt/53_mask.png,molmo/53_molmo.png
What is the color of the back cover of phone?,images/54_original.jpg,images/54_labeled.jpg,masks_gt/54_mask.png,molmo/54_molmo.png
what is the first item next to the mug?,images/55_original.jpg,images/55_labeled.jpg,masks_gt/55_mask.png,molmo/55_molmo.png
Who is holding the handbag?,images/56_original.jpg,images/56_labeled.jpg,masks_gt/56_mask.png,molmo/56_molmo.png
What is the brand of the white car?,images/57_original.jpg,images/57_labeled.jpg,masks_gt/57_mask.png,molmo/57_molmo.png
What color is the bicycle?,images/58_original.jpg,images/58_labeled.jpg,masks_gt/58_mask.png,molmo/58_molmo.png
Is anything near the soap?,images/59_original.jpg,images/59_labeled.jpg,masks_gt/59_mask.png,molmo/59_molmo.png
Are there cinnamon rolls on this tray?,images/60_original.jpg,images/60_labeled.jpg,masks_gt/60_mask.png,molmo/60_molmo.png
What is next to the bottle?,images/61_original.jpg,images/61_labeled.jpg,masks_gt/61_mask.png,molmo/61_molmo.png
What is the color of the shoe?,images/62_original.jpg,images/62_labeled.jpg,masks_gt/62_mask.png,molmo/62_molmo.png
What is located on the white plate?,images/63_original.jpg,images/63_labeled.jpg,masks_gt/63_mask.png,molmo/63_molmo.png
Who is sitting in this chair?,images/64_original.jpg,images/64_labeled.jpg,masks_gt/64_mask.png,molmo/64_molmo.png
Is this a water bottle?,images/65_original.jpg,images/65_labeled.jpg,masks_gt/65_mask.png,molmo/65_molmo.png
What is contained in the glass?,images/66_original.jpg,images/66_labeled.jpg,masks_gt/66_mask.png,molmo/66_molmo.png
what is behind that bench?,images/67_original.jpg,images/67_labeled.jpg,masks_gt/67_mask.png,molmo/67_molmo.png
Is the blade sharp?,images/68_original.jpg,images/68_labeled.jpg,masks_gt/68_mask.png,molmo/68_molmo.png
Is there any damage to the taillight?,images/69_original.jpg,images/69_labeled.jpg,masks_gt/69_mask.png,molmo/69_molmo.png
What is in the tray?,images/70_original.jpg,images/70_labeled.jpg,masks_gt/70_mask.png,molmo/70_molmo.png
What is inside that small vase on the table?,images/71_original.jpg,images/71_labeled.jpg,masks_gt/71_mask.png,molmo/71_molmo.png
What is placed on the napkin?,images/72_original.jpg,images/72_labeled.jpg,masks_gt/72_mask.png,molmo/72_molmo.png
What is next to the plastic bag?,images/73_original.jpg,images/73_labeled.jpg,masks_gt/73_mask.png,molmo/73_molmo.png
What is under the body of the white dog?,images/74_original.jpg,images/74_labeled.jpg,masks_gt/74_mask.png,molmo/74_molmo.png
Is this tray empty?,images/75_original.jpg,images/75_labeled.jpg,masks_gt/75_mask.png,molmo/75_molmo.png
What is written on the side of that box in the left?,images/76_original.jpg,images/76_labeled.jpg,masks_gt/76_mask.png,molmo/76_molmo.png
Where is the knife placed?,images/77_original.jpg,images/77_labeled.jpg,masks_gt/77_mask.png,molmo/77_molmo.png
What is written on the cover?,images/78_original.jpg,images/78_labeled.jpg,masks_gt/78_mask.png,molmo/78_molmo.png
what is the shape of the button?,images/79_original.jpg,images/79_labeled.jpg,masks_gt/79_mask.png,molmo/79_molmo.png
,images/80_original.jpg,images/80_labeled.jpg,masks_gt/80_mask.png,molmo/80_molmo.png
Is the lamp on?,images/81_original.jpg,images/81_labeled.jpg,masks_gt/81_mask.png,molmo/81_molmo.png
What is on the shoe?,images/82_original.jpg,images/82_labeled.jpg,masks_gt/82_mask.png,molmo/82_molmo.png
What is placed on the napkin?,images/83_original.jpg,images/83_labeled.jpg,masks_gt/83_mask.png,molmo/83_molmo.png
Is there anything to drink in this?,images/84_original.jpg,images/84_labeled.jpg,masks_gt/84_mask.png,molmo/84_molmo.png
What is inside the cup?,images/85_original.jpg,images/85_labeled.jpg,masks_gt/85_mask.png,molmo/85_molmo.png
what is in front of the chair?,images/86_original.jpg,images/86_labeled.jpg,masks_gt/86_mask.png,molmo/86_molmo.png
,images/87_original.jpg,images/87_labeled.jpg,masks_gt/87_mask.png,molmo/87_molmo.png
What is inside the jar?,images/88_original.jpg,images/88_labeled.jpg,masks_gt/88_mask.png,molmo/88_molmo.png
What is next to the mug?,images/89_original.jpg,images/89_labeled.jpg,masks_gt/89_mask.png,molmo/89_molmo.png
What's the color of the pillow,images/90_original.jpg,images/90_labeled.jpg,masks_gt/90_mask.png,molmo/90_molmo.png
Is this handbag white?,images/91_original.jpg,images/91_labeled.jpg,masks_gt/91_mask.png,molmo/91_molmo.png
How far away is the car that’s fully in the shade?,images/92_original.jpg,images/92_labeled.jpg,masks_gt/92_mask.png,molmo/92_molmo.png
What is near the fan?,images/93_original.jpg,images/93_labeled.jpg,masks_gt/93_mask.png,molmo/93_molmo.png
What brand brand are the earphones?,images/94_original.jpg,images/94_labeled.jpg,masks_gt/94_mask.png,molmo/94_molmo.png
What is the shape of the object with a cap?,images/95_original.jpg,images/95_labeled.jpg,masks_gt/95_mask.png,molmo/95_molmo.png
What is on top of the tables?,images/96_original.jpg,images/96_labeled.jpg,masks_gt/96_mask.png,molmo/96_molmo.png
How full is the bottle?,images/97_original.jpg,images/97_labeled.jpg,masks_gt/97_mask.png,molmo/97_molmo.png
What is on the plate?,images/98_original.jpg,images/98_labeled.jpg,masks_gt/98_mask.png,molmo/98_molmo.png
What is the color of the bottle?,images/99_original.jpg,images/99_labeled.jpg,masks_gt/99_mask.png,molmo/99_molmo.png
what is the content of the right plate?,images/100_original.jpg,images/100_labeled.jpg,masks_gt/100_mask.png,molmo/100_molmo.png
Is the trash can empty?,images/101_original.jpg,images/101_labeled.jpg,masks_gt/101_mask.png,molmo/101_molmo.png
What is the color of the spoon?,images/102_original.jpg,images/102_labeled.jpg,masks_gt/102_mask.png,molmo/102_molmo.png
Is there a logo on the hat?,images/103_original.jpg,images/103_labeled.jpg,masks_gt/103_mask.png,molmo/103_molmo.png
What kind of ear phone is this?,images/104_original.jpg,images/104_labeled.jpg,masks_gt/104_mask.png,molmo/104_molmo.png
Where is the cleanser?,images/105_original.jpg,images/105_labeled.jpg,masks_gt/105_mask.png,molmo/105_molmo.png
Is this chair empty?,images/106_original.jpg,images/106_labeled.jpg,masks_gt/106_mask.png,molmo/106_molmo.png
What is inside the handbag?,images/107_original.jpg,images/107_labeled.jpg,masks_gt/107_mask.png,molmo/107_molmo.png
What is near the basket?,images/108_original.jpg,images/108_labeled.jpg,masks_gt/108_mask.png,molmo/108_molmo.png
Where is the blade resting?,images/109_original.jpg,images/109_labeled.jpg,masks_gt/109_mask.png,molmo/109_molmo.png
Is there any cheese on the rim?,images/110_original.jpg,images/110_labeled.jpg,masks_gt/110_mask.png,molmo/110_molmo.png
What is inside the bowl?,images/111_original.jpg,images/111_labeled.jpg,masks_gt/111_mask.png,molmo/111_molmo.png
What is the book on the lowest shelf?,images/112_original.jpg,images/112_labeled.jpg,masks_gt/112_mask.png,molmo/112_molmo.png
What is the color of the handbag?,images/113_original.jpg,images/113_labeled.jpg,masks_gt/113_mask.png,molmo/113_molmo.png
what color of shoe is that?,images/114_original.jpg,images/114_labeled.jpg,masks_gt/114_mask.png,molmo/114_molmo.png
What is placed next to the basket?,images/115_original.jpg,images/115_labeled.jpg,masks_gt/115_mask.png,molmo/115_molmo.png
Is it empty?,images/116_original.jpg,images/116_labeled.jpg,masks_gt/116_mask.png,molmo/116_molmo.png
What's placed near the mirror?,images/117_original.jpg,images/117_labeled.jpg,masks_gt/117_mask.png,molmo/117_molmo.png
Is something placed near the napkin?,images/118_original.jpg,images/118_labeled.jpg,masks_gt/118_mask.png,molmo/118_molmo.png
Are there flowers in it?,images/119_original.jpg,images/119_labeled.jpg,masks_gt/119_mask.png,molmo/119_molmo.png
Does this vase hold anything?,images/120_original.jpg,images/120_labeled.jpg,masks_gt/120_mask.png,molmo/120_molmo.png
Where is the black hat?,images/121_original.jpg,images/121_labeled.jpg,masks_gt/121_mask.png,molmo/121_molmo.png
Is the bowl square?,images/122_original.jpg,images/122_labeled.jpg,masks_gt/122_mask.png,molmo/122_molmo.png
Is this pillow lightly colored?,images/123_original.jpg,images/123_labeled.jpg,masks_gt/123_mask.png,molmo/123_molmo.png
What is placed on the seat?,images/124_original.jpg,images/124_labeled.jpg,masks_gt/124_mask.png,molmo/124_molmo.png
what type of handle does the bowl has?,images/125_original.jpg,images/125_labeled.jpg,masks_gt/125_mask.png,molmo/125_molmo.png
where is the hand of that clock pointing at?,images/126_original.jpg,images/126_labeled.jpg,masks_gt/126_mask.png,molmo/126_molmo.png
,images/127_original.jpg,images/127_labeled.jpg,masks_gt/127_mask.png,molmo/127_molmo.png
Is something stored in the inner part?,images/128_original.jpg,images/128_labeled.jpg,masks_gt/128_mask.png,molmo/128_molmo.png
What is the vase placed on?,images/129_original.jpg,images/129_labeled.jpg,masks_gt/129_mask.png,molmo/129_molmo.png
Is this box brown?,images/130_original.jpg,images/130_labeled.jpg,masks_gt/130_mask.png,molmo/130_molmo.png
Is this bottle closest to the mustard?,images/131_original.jpg,images/131_labeled.jpg,masks_gt/131_mask.png,molmo/131_molmo.png
What is next to the trash can?,images/132_original.jpg,images/132_labeled.jpg,masks_gt/132_mask.png,molmo/132_molmo.png
Is he using the keyboard?,images/133_original.jpg,images/133_labeled.jpg,masks_gt/133_mask.png,molmo/133_molmo.png
whats this on the plate?,images/134_original.jpg,images/134_labeled.jpg,masks_gt/134_mask.png,molmo/134_molmo.png
What is the color of the shoe?,images/135_original.jpg,images/135_labeled.jpg,masks_gt/135_mask.png,molmo/135_molmo.png
Where is the mouth located near the body?,images/136_original.jpg,images/136_labeled.jpg,masks_gt/136_mask.png,molmo/136_molmo.png
What is written on the cover?,images/137_original.jpg,images/137_labeled.jpg,masks_gt/137_mask.png,molmo/137_molmo.png
What is above the black book?,images/138_original.jpg,images/138_labeled.jpg,masks_gt/138_mask.png,molmo/138_molmo.png
What are in the back?,images/139_original.jpg,images/139_labeled.jpg,masks_gt/139_mask.png,molmo/139_molmo.png
what is inside that crate in front of the woman?,images/140_original.jpg,images/140_labeled.jpg,masks_gt/140_mask.png,molmo/140_molmo.png
What is next to the vase on the black table?,images/141_original.jpg,images/141_labeled.jpg,masks_gt/141_mask.png,molmo/141_molmo.png
What direction is the camera facing?,images/142_original.jpg,images/142_labeled.jpg,masks_gt/142_mask.png,molmo/142_molmo.png
what material is this made from?,images/143_original.jpg,images/143_labeled.jpg,masks_gt/143_mask.png,molmo/143_molmo.png
Is the pillow bigger than a cushion of the couch?,images/144_original.jpg,images/144_labeled.jpg,masks_gt/144_mask.png,molmo/144_molmo.png
Where is the eraser placed?,images/145_original.jpg,images/145_labeled.jpg,masks_gt/145_mask.png,molmo/145_molmo.png
What is written on the napkin?,images/146_original.jpg,images/146_labeled.jpg,masks_gt/146_mask.png,molmo/146_molmo.png
How long is the spoon?,images/147_original.jpg,images/147_labeled.jpg,masks_gt/147_mask.png,molmo/147_molmo.png
What does the logo say?,images/148_original.jpg,images/148_labeled.jpg,masks_gt/148_mask.png,molmo/148_molmo.png
Is there something sitting on this napkin?,images/149_original.jpg,images/149_labeled.jpg,masks_gt/149_mask.png,molmo/149_molmo.png
What is reflected in the mirror?,images/150_original.jpg,images/150_labeled.jpg,masks_gt/150_mask.png,molmo/150_molmo.png
What is on the body?,images/151_original.jpg,images/151_labeled.jpg,masks_gt/151_mask.png,molmo/151_molmo.png
Is the lid keeping the contents secure?,images/152_original.jpg,images/152_labeled.jpg,masks_gt/152_mask.png,molmo/152_molmo.png
What is the spoon laying on?,images/153_original.jpg,images/153_labeled.jpg,masks_gt/153_mask.png,molmo/153_molmo.png
What brand is the cell phone?,images/154_original.jpg,images/154_labeled.jpg,masks_gt/154_mask.png,molmo/154_molmo.png
Is the lamp switched on?,images/155_original.jpg,images/155_labeled.jpg,masks_gt/155_mask.png,molmo/155_molmo.png
What's under the television set?,images/156_original.jpg,images/156_labeled.jpg,masks_gt/156_mask.png,molmo/156_molmo.png
Is he sitting in this chair?,images/157_original.jpg,images/157_labeled.jpg,masks_gt/157_mask.png,molmo/157_molmo.png
what is behind that bench?,images/158_original.jpg,images/158_labeled.jpg,masks_gt/158_mask.png,molmo/158_molmo.png
,images/159_original.jpg,images/159_labeled.jpg,masks_gt/159_mask.png,molmo/159_molmo.png
What is next to the bowl on the shelf?,images/160_original.jpg,images/160_labeled.jpg,masks_gt/160_mask.png,molmo/160_molmo.png
What is the condition of the shoe?,images/161_original.jpg,images/161_labeled.jpg,masks_gt/161_mask.png,molmo/161_molmo.png
what image is displayed on the laptop screen?,images/162_original.jpg,images/162_labeled.jpg,masks_gt/162_mask.png,molmo/162_molmo.png
Where is the cup?,images/163_original.jpg,images/163_labeled.jpg,masks_gt/163_mask.png,molmo/163_molmo.png
Is the cap  of the bottle secure?,images/164_original.jpg,images/164_labeled.jpg,masks_gt/164_mask.png,molmo/164_molmo.png
what is the shape of that vase?,images/165_original.jpg,images/165_labeled.jpg,masks_gt/165_mask.png,molmo/165_molmo.png
What is beneath the plates?,images/166_original.jpg,images/166_labeled.jpg,masks_gt/166_mask.png,molmo/166_molmo.png
Is this part of the basket wicker?,images/167_original.jpg,images/167_labeled.jpg,masks_gt/167_mask.png,molmo/167_molmo.png
What kind of drink is being made in the kettle?,images/168_original.jpg,images/168_labeled.jpg,masks_gt/168_mask.png,molmo/168_molmo.png
Where is the handle located?,images/169_original.jpg,images/169_labeled.jpg,masks_gt/169_mask.png,molmo/169_molmo.png
What is the shape of the lamp that is on?,images/170_original.jpg,images/170_labeled.jpg,masks_gt/170_mask.png,molmo/170_molmo.png
What is the part of the TV that is next to the remote control?,images/171_original.jpg,images/171_labeled.jpg,masks_gt/171_mask.png,molmo/171_molmo.png
Who is carrying the handbag?,images/172_original.jpg,images/172_labeled.jpg,masks_gt/172_mask.png,molmo/172_molmo.png
What is displayed on the screen?,images/173_original.jpg,images/173_labeled.jpg,masks_gt/173_mask.png,molmo/173_molmo.png
,images/174_original.jpg,images/174_labeled.jpg,masks_gt/174_mask.png,molmo/174_molmo.png
What's under the rims?,images/175_original.jpg,images/175_labeled.jpg,masks_gt/175_mask.png,molmo/175_molmo.png
What is on the box?,images/176_original.jpg,images/176_labeled.jpg,masks_gt/176_mask.png,molmo/176_molmo.png
what type of blender is this?,images/177_original.jpg,images/177_labeled.jpg,masks_gt/177_mask.png,molmo/177_molmo.png
What is inside of the glass?,images/178_original.jpg,images/178_labeled.jpg,masks_gt/178_mask.png,molmo/178_molmo.png
What is in the glass?,images/179_original.jpg,images/179_labeled.jpg,masks_gt/179_mask.png,molmo/179_molmo.png
What's inside?,images/180_original.jpg,images/180_labeled.jpg,masks_gt/180_mask.png,molmo/180_molmo.png
What is inside the plastic bag?,images/181_original.jpg,images/181_labeled.jpg,masks_gt/181_mask.png,molmo/181_molmo.png
what is the title of the book cover on the right?,images/182_original.jpg,images/182_labeled.jpg,masks_gt/182_mask.png,molmo/182_molmo.png
where is the bottle placed on?,images/183_original.jpg,images/183_labeled.jpg,masks_gt/183_mask.png,molmo/183_molmo.png
what is written on the book cover?,images/184_original.jpg,images/184_labeled.jpg,masks_gt/184_mask.png,molmo/184_molmo.png
Is the sweater green?,images/185_original.jpg,images/185_labeled.jpg,masks_gt/185_mask.png,molmo/185_molmo.png
What is inside the plastic bag?,images/186_original.jpg,images/186_labeled.jpg,masks_gt/186_mask.png,molmo/186_molmo.png
What is on the tray?,images/187_original.jpg,images/187_labeled.jpg,masks_gt/187_mask.png,molmo/187_molmo.png
How is the soap dispensed?,images/188_original.jpg,images/188_labeled.jpg,masks_gt/188_mask.png,molmo/188_molmo.png
What is near the bicycle?,images/189_original.jpg,images/189_labeled.jpg,masks_gt/189_mask.png,molmo/189_molmo.png
What is the color of the box on the bottom shelf?,images/190_original.jpg,images/190_labeled.jpg,masks_gt/190_mask.png,molmo/190_molmo.png
Is the mug full?,images/191_original.jpg,images/191_labeled.jpg,masks_gt/191_mask.png,molmo/191_molmo.png
Is someone sitting at the table?,images/192_original.jpg,images/192_labeled.jpg,masks_gt/192_mask.png,molmo/192_molmo.png
what is the color of the foot?,images/193_original.jpg,images/193_labeled.jpg,masks_gt/193_mask.png,molmo/193_molmo.png
What is the book placed on?,images/194_original.jpg,images/194_labeled.jpg,masks_gt/194_mask.png,molmo/194_molmo.png
What color is the pillow?,images/195_original.jpg,images/195_labeled.jpg,masks_gt/195_mask.png,molmo/195_molmo.png
Where is the box placed?,images/196_original.jpg,images/196_labeled.jpg,masks_gt/196_mask.png,molmo/196_molmo.png
What is written on that bag in front?,images/197_original.jpg,images/197_labeled.jpg,masks_gt/197_mask.png,molmo/197_molmo.png
What is next to the chair?,images/198_original.jpg,images/198_labeled.jpg,masks_gt/198_mask.png,molmo/198_molmo.png
What is reflected in the mirror?,images/199_original.jpg,images/199_labeled.jpg,masks_gt/199_mask.png,molmo/199_molmo.png
what is written on the book cover?,images/200_original.jpg,images/200_labeled.jpg,masks_gt/200_mask.png,molmo/200_molmo.png
What is contained in the blue crate?,images/201_original.jpg,images/201_labeled.jpg,masks_gt/201_mask.png,molmo/201_molmo.png
What is inside the cup?,images/202_original.jpg,images/202_labeled.jpg,masks_gt/202_mask.png,molmo/202_molmo.png
What color is the seat?,images/203_original.jpg,images/203_labeled.jpg,masks_gt/203_mask.png,molmo/203_molmo.png
Where is the mouse?,images/204_original.jpg,images/204_labeled.jpg,masks_gt/204_mask.png,molmo/204_molmo.png
What is under the knife?,images/205_original.jpg,images/205_labeled.jpg,masks_gt/205_mask.png,molmo/205_molmo.png
What supports the basket holding the orange's side?,images/206_original.jpg,images/206_labeled.jpg,masks_gt/206_mask.png,molmo/206_molmo.png
What's on the plate?,images/207_original.jpg,images/207_labeled.jpg,masks_gt/207_mask.png,molmo/207_molmo.png
Is the remote control placed next to the bowl?,images/208_original.jpg,images/208_labeled.jpg,masks_gt/208_mask.png,molmo/208_molmo.png
Is she touching the handle?,images/209_original.jpg,images/209_labeled.jpg,masks_gt/209_mask.png,molmo/209_molmo.png
What is inside the bottle that placed vertically?,images/210_original.jpg,images/210_labeled.jpg,masks_gt/210_mask.png,molmo/210_molmo.png
"For the car that is fully visible and not partially shown, what's its license plate?",images/211_original.jpg,images/211_labeled.jpg,masks_gt/211_mask.png,molmo/211_molmo.png
What can be found near the the paper box?,images/212_original.jpg,images/212_labeled.jpg,masks_gt/212_mask.png,molmo/212_molmo.png
What is the type of the telephone?,images/213_original.jpg,images/213_labeled.jpg,masks_gt/213_mask.png,molmo/213_molmo.png
Is this pillow embroidered?,images/214_original.jpg,images/214_labeled.jpg,masks_gt/214_mask.png,molmo/214_molmo.png
Which part looks newly replaced?,images/215_original.jpg,images/215_labeled.jpg,masks_gt/215_mask.png,molmo/215_molmo.png
What is the time on the clock?,images/216_original.jpg,images/216_labeled.jpg,masks_gt/216_mask.png,molmo/216_molmo.png
What shape is the body of the vase?,images/217_original.jpg,images/217_labeled.jpg,masks_gt/217_mask.png,molmo/217_molmo.png
what is the color of the bumper,images/218_original.jpg,images/218_labeled.jpg,masks_gt/218_mask.png,molmo/218_molmo.png
What is the size of the chair?,images/219_original.jpg,images/219_labeled.jpg,masks_gt/219_mask.png,molmo/219_molmo.png
Is the cover of the book red?,images/220_original.jpg,images/220_labeled.jpg,masks_gt/220_mask.png,molmo/220_molmo.png
Is the pen blue?,images/221_original.jpg,images/221_labeled.jpg,masks_gt/221_mask.png,molmo/221_molmo.png
What is highlighted in the embroidery?,images/222_original.jpg,images/222_labeled.jpg,masks_gt/222_mask.png,molmo/222_molmo.png
Is the cellular telephone properly connected with the earphone?,images/223_original.jpg,images/223_labeled.jpg,masks_gt/223_mask.png,molmo/223_molmo.png
,images/224_original.jpg,images/224_labeled.jpg,masks_gt/224_mask.png,molmo/224_molmo.png
Is the television on?,images/225_original.jpg,images/225_labeled.jpg,masks_gt/225_mask.png,molmo/225_molmo.png
What is on the side?,images/226_original.jpg,images/226_labeled.jpg,masks_gt/226_mask.png,molmo/226_molmo.png
Are there stripes on this vase?,images/227_original.jpg,images/227_labeled.jpg,masks_gt/227_mask.png,molmo/227_molmo.png
what does that clock say?,images/228_original.jpg,images/228_labeled.jpg,masks_gt/228_mask.png,molmo/228_molmo.png
what is the title of the book in the third row on the shelf?,images/229_original.jpg,images/229_labeled.jpg,masks_gt/229_mask.png,molmo/229_molmo.png
what model is that phone?,images/230_original.jpg,images/230_labeled.jpg,masks_gt/230_mask.png,molmo/230_molmo.png
what is the content of that bottle?,images/231_original.jpg,images/231_labeled.jpg,masks_gt/231_mask.png,molmo/231_molmo.png
what brand of watch is this?,images/232_original.jpg,images/232_labeled.jpg,masks_gt/232_mask.png,molmo/232_molmo.png
Is this bowl patterned?,images/233_original.jpg,images/233_labeled.jpg,masks_gt/233_mask.png,molmo/233_molmo.png
What is beside the book?,images/234_original.jpg,images/234_labeled.jpg,masks_gt/234_mask.png,molmo/234_molmo.png
Where is the knife?,images/235_original.jpg,images/235_labeled.jpg,masks_gt/235_mask.png,molmo/235_molmo.png
What is written on it?,images/236_original.jpg,images/236_labeled.jpg,masks_gt/236_mask.png,molmo/236_molmo.png
What is held in the person's hand?,images/237_original.jpg,images/237_labeled.jpg,masks_gt/237_mask.png,molmo/237_molmo.png
What is the color of the box?,images/238_original.jpg,images/238_labeled.jpg,masks_gt/238_mask.png,molmo/238_molmo.png
What is inside the vase?,images/239_original.jpg,images/239_labeled.jpg,masks_gt/239_mask.png,molmo/239_molmo.png
what is beside that rash can?,images/240_original.jpg,images/240_labeled.jpg,masks_gt/240_mask.png,molmo/240_molmo.png
What is the brand of the shoe worn by the woman holding the baseball racket?,images/241_original.jpg,images/241_labeled.jpg,masks_gt/241_mask.png,molmo/241_molmo.png
